epoch,loss,val_acc,val_f1,val_auc
1,0.0769742194065841,1.0,1.0,1.0
2,0.0006225907424384027,1.0,1.0,1.0
3,9.807093155415563e-05,1.0,1.0,1.0
4,0.00012505668679113635,1.0,1.0,1.0
